Name	L	T	K	F	R	LF
Acaulon muticum (Hedw.) C. Muell.	9	5	5	7	5	T
Acaulon piligerum (De Not.) Limpr.	9	9	7	3	7	T
Acaulon triquetrum (Spruce) C. Muell.	9	7	5	3	6	T
Aloina aloides (Koch ex F. H. Schultz) Kindb.	7	6	5	4	9	T
Aloina ambigua (Br. & S.) Limpr.	7	6	5	4	8	T
Aloina brevirostris (Hook. & Grev.) Kindb.	8	2	6	6	6	T
Aloina rigida (Hedw.) Limpr.	7	4	5	5	6	T
Amblyodon dealbatus (Hedw.) B. & S.	8	1	6	7	7	C, H
Amblystegium humile (P. Beauv.) Crundwell (kochii)	5	5	5	6	4	C
Amblystegium riparium (Hedw.) B., S. & G.	x	x	5	7	5	C, A
Amblystegium saxatile Schimp.	5	6	5	6	?	C
Amblystegium serpens (Hedw.) B., S. & G. var. serpens	5	x	5	4	6	C, E
Amblystegium serpens var. juratzkanum (Schimp.) Rau & Herv.	5	x	5	6	4	C,(E)
Amblystegium serpens var. salinum Carringt.	8	x	3	6	6	C
Amblystegium varium (Hedw.) Lindb.	5	5	5	5	6	C,(E)
Amphidium lapponicum (Hedw.) Schimp.	4	1	6	6	2	C
Amphidium mougeotii (B. & S.) Schimp.	4	3	4	7	6	C
Anacamptodon splachnoides (Froel. ex Brid.) Brid.	4	7	7	5	3	C, E
Anastrepta orcadensis (Hook.) Schiffn.	5	3	3	6	2	C
Anastrophyllum assimile (Mitt.) Steph.	7	2	5	6	2	C
Anastrophyllum michauxii (F. Web.) Buch	4	3	7	6	2	C
Anastrophyllum saxicola (Schrad.) Schuster	8	3	6	5	3	C
Andreaea alpina Hedw.	2	2	3	8	6	C
Andreaea blyttii Schimp.	9	1	4	7	1	C
Andreaea crassinervia Bruch	8	2	5	7	1	C,(A)
Andreaea frigida Hueb.	8	1	6	8	1	C, A
Andreaea heinemannii Hampe & C. Muell. (angustata)	7	2	2	3	1	C
Andreaea nivalis Hook.	8	1	4	8	2	C
Andreaea rothii Web. & Mohr. ssp. rothii	6	3	3	4	2	C
Andreaea rothii ssp. falcata (Schimp.) Lindb. (huntii)	7	3	3	2	1	C
Andreaea rupestris Hedw. var. rupestris	8	2	6	2	1	C
Andreaea rupestris var. alpestris (Thed.) Sharp	6	1	6	6	1	C
Andreaea rupestris var. papillosa (Lindb.) Podp.	8	1	4	2	1	C
Aneura pinguis (L.) Dum. (Riccardia)	8	x	5	8	7	H
Anoectangium aestivum (Hedw.) Mitt.	5	2	5	7	6	C
Anoectangium hornschuchianum (Hook.) Funck	3	1	7	7	8	C
Anoectangium schliephackei (Limpr.) Par.	?	1	6	7	7	C
Anoectangium sendtnerianum B., S. & G.	6	2	7	7	8	C
Anoectangium taeniatifolium (Herz.) M. Hill	8	2	7	7	7	C
Anoectangium tenuinerve (Limpr.) Par.	5	2	7	7	6	C
Anomobryum julaceum (G., M. & S.) Schimp. var. julaceum (filiforme)	4	3	4	7	3	C
Anomobryum julaceum var. concinnatum (Spruce) Zett.	3	2	6	3	4	C
Anomodon attenuatus (Hedw.) Hueb.	5	5	7	5	7	C,(E)
Anomodon longifolius (Brid.) Hartm.	4	3	6	5	8	C, E
Anomodon rostratus (Hedw.) Schimp.	5	8	7	5	7	C
Anomodon rugelii (C. Muell.) Keissl.	3	3	7	4	7	C,(E)
Anomodon viticulosus (Hedw.) Hook. & Tayl.	4	3	5	4	8	C, E
Anthelia julacea (L.) Dum.	8	1	6	8	x	C
Anthelia juratzkana (Limpr.) Trev.	9	1	6	7	x	C
Anthoceros agrestis Paton (punctatus var. cavernosus)	9	5	5	7	4	T,(H)
Anthoceros neesii Prosk.	8	7	7	7	4	T, H
Anthoceros punctatus L. (husnotii)	7	6	3	8	4	H, T
Antitrichia californica Sull.	5	9	5	4	7	C
Antitrichia curtipendula (Hedw.) Brid. fo. curtipendula	6	3	4	4	6	C, E
Aongstroemia longipes (Somm.) B., S. & G.	9	1	4	7	1	C
Aphanolejeunea microscopica (Tayl.) Evans	4	6	1	6	2	H,(E)
Aphanorhegma patens (Hedw.) Lindb.	8	5	5	7	6	T
Apometzgeria pubescens (Schrank) Kuwah.	4	3	6	6	8	H, E
Archidium alternifolium (Hedw.) Schimp.	7	5	3	7	3	T
Arctoa fulvella (Dicks.) B., S. & G.	4	1	6	6	2	C
Arnellia fennica (Gott.) Lindb.	7	1	7	6	7	C
Aschisma carniolicum (Web. & Mohr) Lindb.	9	9	6	7	5	T
Asterella gracilis (F. Web.) Underw. (F. ludwigii)	9	2	7	2	5	H
Asterella lindenbergiana (Corda ex Nees) H. Arn.	9	2	7	7	5	H
Asterella saccata (Wahlenb.) Nees	9	7	8	2	7	H
Athalamya hyalina (Sommerf.) Hattori var. hyalina	9	x	7	2	7	H
Athalamya hyalina var. suecica (Lindb.) Hattori	9	x	7	2	7	H
Atrichum angustatum (Brid.) B. & S.	6	5	5	6	4	H
Atrichum tenellum (Roehl.) B. & S.	6	3	5	6	4	H
Atrichum undulatum (Hedw.) P. Beauv. var. undulatum	6	x	5	6	4	H
Atrichum undulatum var. gracilisetum Besch. (haussknechtii)	6	2	6	6	4	H
Aulacomnium androgynum (Hedw.) Schwaegr.	4	4	5	5	2	C,(E)
Aulacomnium palustre (Hedw.) Schwaegr. var. palustre	7	2	6	7	3	C
Aulacomnium palustre var. imbricatum B. & S.	8	1	6	2	3	C
Aulacomnium turgidum (Wahlenb.) Schwaegr.	9	1	6	4	1	C
Barbilophozia atlantica (Kaal.) K. Muell.	5	2	4	4	2	C
Barbilophozia attenuata (Mart.) Loeske	7	3	5	6	2	C
Barbilophozia barbata (Schmid. ex Schreb.) Loeske	7	3	6	4	5	C
Barbilophozia floerkei (Web. & Mohr) Loeske	7	2	6	6	2	C
Barbilophozia hatcheri (Evans) Loeske	6	2	6	6	2	C
Barbilophozia kunzeana (Hueb.) K. Muell.	9	2	6	8	2	C
Barbilophozia lycopodioides (Wallr.) Loeske	5	2	6	6	3	C
Barbilophozia quadriloba (Lindb.) Loeske	8	1	6	7	6	C
Barbula bicolor (B., S. & G.) Lindb.	5	1	5	6	9	C
Barbula convoluta Hedw. var. convoluta	8	x	5	3	7	C
Barbula convoluta var. commutata (Jur.) Husn.	9	6	5	4	9	C
Barbula crocea (Brid.) Web. & Mohr	4	1	3	7	9	C
Barbula ehrenbergii (Lor.) Fleischer (Hydrogonium)	8	9	6	8	8	C, A
Barbula enderesii Garov.	7	3	6	5	9	C
Barbula indica (Hook.) Zander	8	9	7	6	7	C
Barbula unguiculata Hedw.	7	x	5	2	7	C
Bartramia halleriana Hedw. D116	4	3	6	6	5	C
Bartramia ithyphylla Brid. var. ithyphylla	6	2	6	4	4	C
Bartramia ithyphylla var. breviseta (Lindb.) Kindb. (+ strigosa)	7	1	6	4	4	C
Bartramia pomiformis Hedw. var. pomiformis	5	3	6	5	4	C
Bartramia pomiformis var. elongata Turn.	4	3	6	6	4	C
Bartramia stricta Brid.	5	8	4	3	4	C
Bartramia subulata B., S. & G.	8	1	7	4	2	C
Bazzania flaccida (Dum.) Grolle (denudata auct.)	4	4	7	6	2	C, E
Bazzania tricrenata (Wahlenb.) Lindb.	5	2	6	6	5	C
Bazzania trilobata (L.) S. Gray var. trilobata	5	4	6	6	2	C, H
Bazzania trilobata var. depauperata (K. Muell.) Grolle	4	5	6	5	1	C
Blasia pusilla L.	8	3	6	8	4	H
Blepharostoma trichophyllum (L.) Dum. ssp. trichophyllum	4	3	6	6	3	C
Blepharostoma trichophyllum ssp. brevirete (Bryhn & Kaal.) Schust.	8	1	6	6	2	C
Blindia acuta (Hedw.) B., S. & G.	4	2	6	8	5	C
Blindia caespiticia (Web. & Mohr) C. Muell.	5	1	6	5	6	C
Brachydontium trichodes (Web.) Milde	2	4	4	6	3	C
Brachythecium albicans (Hedw.) B., S. & G.	9	3	5	2	x	C
Brachythecium campestre (C. Muell.) B., S. & G.	6	4	7	3	5	C
Brachythecium capillaceum (Starke ex Web. & Mohr) Giac.	7	7	5	5	5	C
Brachythecium collinum (C. Muell.) B., S. & G.	8	1	7	3	4	C
Brachythecium curtum (Lindb.) J. Lange & C. Jens. (oedipodium)	3	4	7	6	3	E, C
Brachythecium erythrorrhizon B., S. & G.	8	1	6	7	6	C
Brachythecium glaciale B., S. & G.	8	1	6	8	2	C
Brachythecium glareosum (Spruce) B., S. & G. var. glareosum	4	3	5	5	8	C
Brachythecium glareosum var. alpinum (De Not.) Limpr.	9	1	6	6	7	C
Brachythecium latifolium Kindb.	9	1	7	8	2	C
Brachythecium mildeanum (Schimp.) Schimp. ex Milde	8	4	5	7	6	C
Brachythecium oxycladum (Brid.) Jaeg. (laetum)	4	7	7	4	8	C
Brachythecium plumosum (Hedw.) B., S. & G.	4	3	4	7	6	C,(A,E)
Brachythecium populeum (Hedw.) B., S. & G. var. populeum	4	3	5	3	6	C,(E)
Brachythecium populeum var. amoenum (Milde) Limpr.	4	3	5	3	7	C
Brachythecium reflexum (Starke ex Web. & Mohr) B., S. & G.	4	2	6	5	4	C,(E)
Brachythecium rivulare B., S. & G.	x	3	5	7	6	C, A
Brachythecium rutabulum (Hedw.) B., S. & G. var. rutabulum	5	x	5	4	x	C,(E)
Brachythecium rutabulum var. flavescens B., S. & G.	5	3	5	4	x	C
Brachythecium rutabulum var. turgescens Limpr.	6	5	6	4	x	C
Brachythecium salebrosum (Web. & Mohr) B., S. & G. var. salebrosum	6	4	5	4	6	C
Brachythecium salebrosum var. vineale (Milde) Podp.	8	9	7	4	5	C
Brachythecium starkei (Brid.) B., S. & G. var. starkei	6	1	6	6	2	C,(E)
Brachythecium starkei var. tromsoense (Kaur. & Arn.) Nyh.	6	1	6	6	2	C
Brachythecium trachypodium (Brid.) B., S. & G.	4	1	7	5	6	C
Brachythecium turgidum (C. Hartm.) Kindb.	9	1	7	7	7	C
Brachythecium velutinum (Hedw.) B., S. & G. var. velutinum	5	3	5	4	6	C,(E)
Brachythecium velutinum var. salicinum (B., S. & G.) Moenk.	6	7	6	4	6	C,(E)
Brachythecium velutinum var. vagans (Milde) Warnst.	5	3	7	4	5	C
Braunia alopecura (Brid.) Limpr.	8	9	6	4	5	C
Breutelia chrysocoma (Hedw.) Lindb.	8	4	2	7	1	C
Brotherella lorentziana (Mol. ex Lor.) Loeske	3	5	7	6	6	C
Bruchia flexuosa (Sw. ex Schwaegr.) C. Muell. (trobasiana)	6	9	7	5	6	T
Bruchia vogesiaca Schwaegr.	7	7	3	7	1	T
Bryoerythrophyllum alpigenum (Vent.) Chen	4	2	7	7	8	C
Bryoerythrophyllum ferruginascens (Stirt.) Giac.	4	4	3	6	8	C
Bryoerythrophyllum recurvirostrum (Hedw.) Chen	5	3	5	5	7	C,(E)
Bryoerythrophyllum rubrum (Jur. ex Geh.) Chen	2	1	7	6	9	C
Bryum algovicum Sendt. ex C. Muell. var. algovicum (pendulum)	8	3	5	6	8	C
Bryum algovicum var. compactum (Hornsch.) comb. nov.	9	1	6	6	8	C
Bryum alpinum Huds. ex With.	8	x	4	7	4	C,(A)
Bryum archangelicum B., S. & G.	8	1	7	3	8	C
Bryum arcticum (R. Br.) B., S. & G. ssp. arcticum	8	1	6	5	7	C
Bryum arcticum ssp. watzmannii (H. Winter) Amann	8	1	6	5	7	C
Bryum argenteum Hedw.	7	x	x	x	6	C
Bryum bicolor Dicks. (barnesii)	8	6	5	6	5	C
Bryum blindii B., S. & G.	9	2	7	6	5	C
Bryum bornholmense Winkelmann & Ruthe	5	5	6	4	x	C
Bryum caespiticium Hedw. var. caespiticium	8	x	5	5	6	C
Bryum caespiticium var. badium Brid.	9	3	5	6	8	C
Bryum calophyllum R. Br.	9	2	6	6	7	C
Bryum canariense Brid. var. provinciale (Philib.) Husm.	5	9	5	4	8	C
Bryum capillare Hedw.	5	x	5	5	6	C,(E)
Bryum capillare var. platyloma (Schwaegr.) Schimp.	4	6	7	6	7	C
Bryum comense Schimp.	8	2	6	2	5	C
Bryum creberrimum Tayl. (cuspidatum)	6	x	6	x	7	C
Bryum cryophilum Mart.	8	1	7	7	?	C
Bryum cyclophyllum (Schwaegr.) B. & S. (tortifolium)	9	2	8	8	1	C
Bryum demaretianum Arts	6	6	2	5	3	C
Bryum donianum Grev.	4	6	4	4	x	C
Bryum dunense A. J. E. Smith & Whiteh.	9	4	3	5	5	C
Bryum elegans Nees ex Brid.	7	x	?	5	8	C
Bryum funckii Schwaegr.	9	5	7	2	9	C
Bryum gemmiferum Wilcz. & Demar.	9	6	3	7	5	C
Bryum gemmilucens Wilcz. & Demar.	8	6	4	6	5	C
Bryum gemmiparum De Not. (geheebii, gerwigii)	8	8	4	8	8	C, A
Bryum inclinatum (Brid.) Bland. var. incl. (amblyodon)	8	x	5	5	7	C
Bryum inclinatum var. litorum (Bomanss.) Podp.	9	5	3	6	6	C
Bryum intermedium (Brid.) Bland.	8	4	6	6	7	C
Bryum klinggraeffii Schimp. ex Klinggr.	8	6	4	7	x	C
Bryum knowltonii Barnes var. knowltonii	8	2	6	7	6	C
Bryum knowltonii var. ammophilum (Ruthe) Podp.	8	3	7	7	6	C
Bryum knowltonii var. planioperculatum (Warnst.) Podp.	8	3	7	7	6	C
Bryum kunzei Hornsch.	9	5	5	2	7	C
Bryum laevifilum Syed (flaccidum = subelegans)	5	5	5	5	6	C, E
Bryum longisetum Bland. ex Schwaegr.	8	2	7	8	1	C
Bryum mamillatum Lindb.	9	5	3	7	5	C
Bryum marratii Hook. f. & Wils.	9	3	3	7	5	C
Bryum mildeanum Jur.	7	3	4	7	6	C
Bryum muehlenbeckii B., S. & G.	7	2	6	8	2	C
Bryum muehlenbeckii var. abduanum (Rota) Podp.	8	2	7	7	2	C
Bryum neodamense Itzig. ex C. Muell.	9	2	6	8	8	C
Bryum oblongum Lindb.	9	2	7	7	7	C
Bryum oeneum Blytt	9	1	7	8	?	C
Bryum pallens (Brid.) Sw. ex Roehl. var. pallens	7	3	6	7	7	C
Bryum pallens var. alpinum (B., S. & G.) Podp.	9	1	6	7	7	C
Bryum pallescens Schleich. ex Schwaegr.	7	x	5	4	7	C
Bryum pallescens ssp. subrotundum (Brid.) Amann	9	1	7	5	7	C
Bryum pseudotriquetrum (Hedw.) G., M. & S. var. pseud.	7	x	5	7	7	C
Bryum pseudotriquetrum var. bimoideum (De Not.) Moenk.	8	2	7	7	7	C
Bryum pseudotriquetrum var. bimum (Schreb. ex Hedw.) Lilj.	8	x	5	7	7	C
Bryum pseudotriquetrum var. duvalioides (Itzig.) Itzig.	5	x	5	7	7	C
Bryum purpurascens (R. Br.) B., S. & G.	9	1	7	7	?	C
Bryum radiculosum Brid. (murale)+D26	9	6	4	2	7	C
Bryum rubens Mitt.	8	6	5	5	x	C
Bryum ruderale Crundw. & Nyh.	8	6	3	6	7	C
Bryum salinum I. Hag. ex Limpr.	9	2	2	7	6	C
Bryum sauteri B., S. & G.	8	3	4	6	6	C
Bryum schleicheri Schwaegr. var. schleicheri	9	2	7	8	6	C
Bryum schleicheri var. latifolium (Schwaegr.) Schimp.	9	2	6	8	6	C
Bryum stirtonii Schimp.	4	2	4	6	6	C
Bryum subapiculatum Hampe (microerythrocarpum)	9	4	3	6	4	C
Bryum subneodamense Kindb.	9	1	7	8	8	C
Bryum tenuisetum Limpr.	8	4	3	6	4	C
Bryum torquescens B. & S.	8	6	4	3	7	C
Bryum turbinatum (Hedw.) Turn.	8	x	5	8	6	C
Bryum uliginosum (Brid.) B. & S.	9	2	6	7	7	C
Bryum veronense De Not.	9	2	7	8	3	C, A
Bryum versicolor A. Br. ex B. & S.	9	7	4	7	7	C
Bryum violaceum Crundw. & Nyh.	9	5	3	6	7	C
Bryum warneum (Roehl.) Bland. ex Brid.	9	3	3	6	5	C
Bryum weigelii Spreng.	8	2	6	8	4	C
Bryum wrightii Sull. et Lesq.	9	1	8	6	8	C
Buxbaumia aphylla Hedw.	7	3	6	5	2	T
Buxbaumia viridis (Moug. ex Lam. & Dc.) Brid. ex Moug. & Nestl.	2	4	6	6	5	T
Callialaria curvicaulis (Jur.) Ochyra	9	1	6	7	7	C
Callicladium haldanianum (Grev.) Crum	6	4	7	6	2	C
Calliergon cordifolium (Hedw.) Kindb.	7	4	6	8	4	C
Calliergon giganteum (Schimp.) Kindb.	8	3	5	8	8	C
Calliergon megalophyllum Mik.	9	2	7	9	8	C
Calliergon richardsonii (Mitt.) Kindb. ex Warnst.	6	2	7	8	4	C
Calliergon sarmentosum (Wahlenb.) Kindb.	9	1	6	9	3	C
Calliergon stramineum (Brid.) Kindb.	8	2	6	8	2	C
Calliergon trifarium (Web. & Mohr) Kindb.	8	2	6	8	9	C
Calliergonella cuspidata (Hedw.) Loeske	8	3	5	7	7	C
Calypogeia arguta Nees & Mont.	3	6	3	6	5	H
Calypogeia azurea Stotler & Crotz (trichomanis)	4	3	6	6	3	H
Calypogeia fissa (L.) Raddi	4	4	4	5	3	H
Calypogeia integristipula Steph.	4	3	5	6	2	H
Calypogeia muelleriana (Schiffn.) K. Muell.	5	3	6	5	3	H
Calypogeia neesiana (Mass. & Carest.) K. Muell.	5	3	6	6	1	H
Calypogeia sphagnicola (H. Arn. & J. Perss.) Warnst. & Loeske	8	3	4	8	2	H
Calypogeia suecica (H. Arn. & J. Perss.) K. Muell.	4	3	4	6	2	H
Campylium calcareum Crundw. & Nyh. (polymorphum)	4	5	5	4	8	C
Campylium chrysophyllum (Brid.) J. Lange	9	2	6	2	8	C
Campylium elodes (Lindb.) Kindb.	8	4	5	7	9	C, H
Campylium halleri (Hedw.) Lindb.	7	2	6	6	9	C
Campylium polygamum (B. & S.) C. Jens. ex J. Lange	8	2	6	8	4	C
Campylium polygamum var. minus (Schimp.) G. Roth	8	3	7	7	4	C
Campylium stellatum (Hedw.) C. Jens. ex J. Lange var. stellatum	8	2	6	7	7	C
Campylium stellatum var. protensum (Brid.) Bryhn ex Grout	8	3	6	6	9	C
Campylopus atrovirens De Not.	8	8	2	5	1	C
Campylopus brevipilus B., S. & G.	8	6	2	6	1	C
Campylopus flexuosus (Hedw.) Brid.	7	4	3	6	1	C
Campylopus fragilis (Brid.) B., S. & G.	7	4	3	6	2	C
Campylopus introflexus (Hedw.) Brid.	8	6	3	2	2	C
Campylopus oerstedianus (C. Muell.) Mitt. (mildei)	8	9	3	2	2	C
Campylopus pilifer Brid. (polytrichoides)	9	8	3	2	1	C
Campylopus pyriformis (K. F. Schultz) Brid.	8	4	3	5	1	C
Campylopus schimperi Milde ex Schimp.	8	1	6	4	1	C
Campylopus schwarzii Schimp.	7	1	5	6	2	C
Campylopus subulatus Schimp. ex Milde	9	3	2	4	2	C
Campylostelium saxicola (Web. & Mohr) B., S. & G.	3	7	3	6	1	C
Catoscopium nigritum (Hedw.) Brid.	9	2	6	8	9	C
Cephalozia ambigua Mass.	9	1	6	7	1	C
Cephalozia bicuspidata (L.) Dum. var. bicuspidata	5	x	5	5	3	C
Cephalozia bicuspidata var. lammersiana (Hueb.) Breidl.	x	3	5	7	2	C
Cephalozia catenulata (Hueb.) Lindb.	5	4	4	6	2	C
Cephalozia connivens (Dicks.) Lindb.	x	3	4	7	1	C
Cephalozia lacinulata Jack ex Spruce	4	3	7	6	1	C
Cephalozia leucantha Spruce	5	2	5	6	1	C
Cephalozia loitlesbergeri Schiffn.	9	2	6	8	1	C
Cephalozia lunulifolia (Dum.) Dum.	5	3	6	6	2	C
Cephalozia macrostachya Kaal. & Nichols.	8	2	3	7	1	C
Cephalozia pleniceps (Aust.) Lindb. var. pleniceps	3	2	6	7	5	C
Cephaloziella arctica Bryhn & Douin	8	1	?	4	2	C
Cephaloziella baumgartneri Schiffn.	6	7	3	5	8	C
Cephaloziella divaricata (Sm.) Schiffn. var. divaricata	9	x	5	2	4	C,(E)
Cephaloziella divaricata var. scabra (M. A. Howe) S. Arn.	8	4	5	2	4	C
Cephaloziella elachista (Jack ex Gott. & Rabenh.) Schiffn.	8	4	4	7	1	C
Cephaloziella elegans (Heeg) Schiffn.	7	3	7	3	4	C
Cephaloziella grimsulana (Jack ex Gott. & Rabenh.) Lacouture	6	1	7	5	5	C
Cephaloziella hampeana (Nees) Schiffn.	8	4	4	3	3	C
Cephaloziella integerrima (Lindb.) Warnst.	8	3	4	6	3	C
Cephaloziella massalongi (Spruce) K. Muell.	5	4	3	6	5	C
Cephaloziella phyllacantha (Mass. & Carest.) K. Muell.	5	3	7	6	5	C
Cephaloziella rubella (Nees) Warnst. var. rubella	8	3	5	3	3	C
Cephaloziella rubella var. sullivantii (Aust.) K. Muell.	5	6	5	6	1	C
Cephaloziella stellulifera (Tayl. ex Spruce) Schiffn.	7	6	4	6	6	C
Cephaloziella subdentata Warnst.	8	2	4	7	1	C
Ceratodon conicus (Hampe ex C. Muell.) Lindb.	9	3	2	5	6	C
Ceratodon purpureus (Hedw.) Brid. var. purpureus	8	x	x	2	x	C,(E)
Ceratodon purpureus var. rotundifolius Berggr. (var. brevifolius)	9	1	7	3	x	C
Ceratodon purpureus var. xanthopus Sull. & Lesq. ex Lesq. & James	8	5	3	2	2	C
Chiloscyphus pallescens (Ehrh. ex Hoffm.) Dum.	5	3	6	8	7	C, A
Chiloscyphus polyanthos (L.) Corda	x	4	6	9	5	C, A
Cinclidium arcticum (B., S. & G.) Schimp.	9	1	8	8	8	H
Cinclidium stygium Sw.	8	2	6	7	8	H
Cinclidotus aquaticus (Hedw.) B. & S.	9	8	6	9	9	C, A
Cinclidotus danubicus Schiffn. & Baumg.	9	7	7	8	7	C, A
Cinclidotus fontinaloides (Hedw.) P. Beauv.	7	4	5	8	8	C, A
Cinclidotus mucronatus (Brid.) Mach. (Dialytrichia)	8	8	4	6	7	C, A, E
Cinclidotus pachylomoides Bizot	7	9	6	7	7	C, A
Cinclidotus riparius (Brid.) Arnott (nigricans)	9	6	7	7	7	C, A
Cirriphyllum cirrosum (Schwaegr. ex Schultes) Grout	7	1	6	6	8	C
Cirriphyllum crassinervium (Tayl. ex Mackay) Loeske & Fleischer	4	5	4	5	8	C
Cirriphyllum germanicum (Grebe) Loeske & Fleischer	5	4	7	5	5	C, E
Cirriphyllum piliferum (Hedw.) Grout	7	3	6	5	6	C
Cirriphyllum reichenbachianum (Hueb.) Wijk & Marg.	3	6	7	3	6	C
Cirriphyllum tenuinerve (Lindb.) Wijk & Marg. (tommasinii)	4	4	7	5	8	C
Cladopodiella fluitans (Nees) Buch	9	2	3	8	1	C,(A)
Cladopodiella francisci (Hook.) Buch ex Joerg.	9	2	3	7	1	C
Clasmatodon parvulus (Hampe) Sull.	5	8	7	6	6	C
Climacium dendroides (Hedw.) Web. & Mohr	7	3	5	6	5	C
Cnestrum schistii (Web. & Mohr) I. Hag.	9	2	7	4	5	C
Cololejeunea calcarea (Libert) Schiffn.	4	3	4	7	9	C, H,(E)
Cololejeunea minutissima (Sm.) Schiffn.	7	7	2	5	6	C, E, H
Cololejeunea rossettiana (Mass.) Schiffn.	4	6	5	6	9	C, H
Conardia compacta (C.Muell.) Robinson	3	3	5	5	8	C
Conocephalum conicum (L.) Underw.	7	3	6	7	7	H
Conostomum tetragonum (Hedw.) Lindb.	6	1	6	7	2	C
Corsinia coriandrina (Spreng.) Lindb.	8	9	5	7	5	H
Coscinodon cribrosus (Hedw.) Spruce (humilis)+D347	9	2	6	1	1	C
Cratoneuron commutatum (Hedw.) G. Roth var. commutatum	8	x	5	8	8	C
Cratoneuron commutatum var. falcatum (Brid.) Moenk.	8	3	5	8	6	C, (A)
Cratoneuron commutatum var. fluctuans (B., S. & G.) Wijk & Marg.	8	3	5	9	8	C, A
Cratoneuron commutatum var. sulcatum (Lindb.) Moenk.	9	1	6	7	7	C
Cratoneuron decipiens (De Not.) Loeske	8	1	2	7	7	C
Cratoneuron filicinum (Hedw.) Spruce var. filicinum	7	x	5	7	7	C
Cratoneuron filicinum var. atrovirens (Brid.) Ochyra (fallax)	7	x	5	9	6	C, A
Crossidium crassinerve (De Not.) Jur.	9	8	6	2	8	T
Crossidium squamiferum (Viv.) Jur. var. squamiferum	9	8	6	1	8	C
Crossidium squamiferum var. pottioideum (De Not.) Moenk.	9	8	7	1	8	C
Cryphaea heteromalla (Hedw.) Mohr	7	6	4	4	6	C, E
Cryptothallus mirabilis v. Malmborg	x	3	5	7	2	C
Ctenidium molluscum (Hedw.) Mitt. var. molluscum	5	4	5	4	8	C
Ctenidium molluscum var. condensatum (Schimp.) Britt.	6	4	5	4	7	C
Ctenidium molluscum var. robustum (Mol.) Boul. ex Braithw. (procerum)	3	2	3	8	6	C
Ctenidium procerrimum (Mol.) Lindb.	6	2	4	6	8	C
Cynodontium fallax Limpr.	5	1	6	6	2	C
Cynodontium gracilescens (Web. & Mohr) Schimp.	4	3	7	6	2	C
Cynodontium jenneri (Schimp.) Stirt. (laxirete)+D367	4	3	2	6	1	C
Cynodontium polycarpon (Hedw.) Schimp. var. polycarpon	6	2	6	4	2	C
Cynodontium polycarpon var. strumiferum (Hedw.) Lindb.	9	3	6	3	2	C
Cynodontium tenellum (B., S. & G.) Limpr. (alpestre)	3	2	6	5	2	C
Cyrtomnium hymenophylloides (Hueb.) Nyh. ex T. Kop.	2	1	7	6	9	H
Desmatodon cernuus (Hueb.) B. & S.	6	2	6	6	9	C
Desmatodon guepinii B. & S.	9	7	3	2	5	C
Desmatodon heimii (Hedw.) Mitt. (Pottia)	9	x	4	6	7	T
Desmatodon latifolius (Hedw.) Brid. (incl. var.)	9	1	7	2	7	C
Desmatodon laureri (K. F. Schultz) B. et S.	8	1	7	5	5	C
Desmatodon leucostoma (R. Br.) Berggr. (suberectus)	1	1	6	5	7	T
Desmatodon randii (Kenedy) Lazar.	?	6	8	6	?	T
Desmatodon systylius Schimp.	8	1	7	5	8	C
Desmatodon wilczekii Meyl.	6	1	7	3	6	C
Dichelyma capillaceum (With.) Myr.	7	6	7	6	?	C, A
Dichelyma falcatum (Hedw.) Myr.	6	2	8	9	2	C, A
Dichodontium flavescens (With.) Lindb.	5	3	3	8	6	C
Dichodontium pellucidum (Hedw.) Schimp.	5	3	6	7	7	C, A
Dicranella cerviculata (Hedw.) Schimp.	8	3	6	6	1	C
Dicranella crispa (Hedw.) Schimp. (A. vaginale)	8	3	6	7	7	C
Dicranella grevilleana (Brid.) Schimp.	9	1	6	6	4	C
Dicranella heteromalla (Hedw.) Schimp.	5	4	5	4	2	C
Dicranella howei Ren. & Card.	7	9	4	5	6	C
Dicranella humilis Ruthe	8	3	7	7	5	C
Dicranella palustris (Dicks.) Crundw. ex E. Warb. (Diobelon)	8	2	6	8	2	C, A
Dicranella rufescens (Dicks.) Schimp.	7	4	5	7	4	C
Dicranella schreberiana (Hedw.) H. ex C. & A. var. schreberiana	9	3	6	7	7	C
Dicranella schreberiana var. robusta (Schimp. ex Braithw.) Crum & Anders.	8	3	6	8	8	C
Dicranella staphylina H. K. L. Whiteh.	8	5	3	7	5	C
Dicranella subulata (Hedw.) Schimp. (curvata)+D396	6	2	6	5	2	C
Dicranella varia (Hedw.) Schimp. var. varia	8	x	5	7	8	C
Dicranella varia var. calaminaria Card. ex Moenk.	8	7	5	7	8	C
Dicranodontium asperulum (Mitt.) Broth.	2	2	3	7	1	C
Dicranodontium denudatum (Brid.) Britt. ex Williams var. denudatum	4	3	6	6	2	C
Dicranodontium denudatum var. alpinum (Schimp.) Hag.	5	2	6	7	1	C
Dicranodontium uncinatum (Harv.) Jaeg.	3	3	3	7	1	C
Dicranoweisia cirrata (Hedw.) Lindb. ex Milde	7	6	4	5	5	C
Dicranoweisia crispula (Hedw.) Lindb. ex Milde var. crispula	8	1	6	4	4	C
Dicranoweisia crispula var. compacta (Schleich ex Schwaegr.) Lindb.	8	1	7	8	2	C
Dicranoweisia crispula var. intermedia (Amann) Podp.	9	2	7	6	2	C
