Name	L	T	K	F	R	N	S	LF	LF_B
Arabis auriculata (recta)	7	7	6	3	7	3	0	T	S
Arabis brassica (pauciflora)	4	7	4	3	8	3	0	H	S
Arabis caerulea	8	2	4	7	9	4	0	C, H	W
Arabis ciliata (corymbifera)	9	2	4	5	9	3	0	C	W
Arabis glabra (Turritis)	6	6	2	3	8	5	0	H	S
Arabis hirsuta agg.
Arabis hirsuta hirsuta	7	5	3	4~	8	x	0	H, T	S
Arabis hirsuta nemorensis	7	6	5	7	6	4	0	H	S
Arabis planisiliqua	7	7	5	7=	7	4	0	H, T	S
Arabis pumila	9	2	4	x	9	2	0	C	W
Arabis soyeri ssp. subcoriacea	9	2	4	9=	9	2	0	C, H	W
Arabis turrita	6	7	4	3	7	3	0	H	S
Arctium lappa	9	6	4	5	7	9	0	H	S
Arctium minus	9	5	3	5	x	8	0	H	S
Arctium nemorosum (vulgare)	6	6	2	7	7	9	0	H	S
Arctium tomentosum	8	5	7	5	8	9	0	H	S
Arctostaphylos alpinus	7	2	5	5	x	2	0	Z	S
Arctostaphylos uva-ursi	6	x	5	3	x	2	0	Z	I
Aremonia agrimonoides	4	7	4	5	8	6	0	H	S
Arenaria biflora	8	2	4	7	5	2	0	C	W
Arenaria multicaulis	9	2	3	5	8	2	0	C, T	W
Arenaria serpyllifolia agg.	8	x	x	4	7	x	0	T, C	W
Aristolochia clematitis	6	7	3	4~	8	8	0	H	S
Armeria alliacea (arenaria)	8	8	2	3	6	2	0	H	I
Armeria maritima alpina	9	1	?	4	x	1	0	H	I
Armeria maritima elongata	7	6	3	3	6	2	0	H	I
Armeria maritima elongata - ssp.serpentini	8	5	3	3	5	1	0	H	I
Armeria maritima halleri	9	x	2	3	6	1	0B	H	I
Armeria maritima maritima	8	6	2	6=	5	4	6	H	I
Armeria maritima purpurea	8	6	3	10	7	2	0	H	I
Armoracia rusticana (lapathifolia)	8	6	3	5	x	9	0	G	S
Arnica montana	9	4	4	5	3	2	0	H	S
Arnoseris minima	7	6	2	4	3	3	0	T	S
Arrhenatherum elatius	8	5	3	x	7	7	0	H	S
Artemisia absinthium	9	6	7	4	7	8	0	C	I
Artemisia annua	9	7	7	4	7	6	0	T	S
Artemisia campestris	9	6	5	2	5	2	0	C	I
Artemisia genipi	8	1	?	6	8	?	0	C	I
Artemisia maritima	9	6	x	5=	x	7	5	C,H	I
Artemisia mutellina (laxa)	9	2	6	3	4	2	0	C	I
Artemisia pontica	9	7	6	3	7	4	0	H	S
Artemisia rupestris	9	6	8	7	8	3	3	C	I
