Name	L	T	K	F	R	N	S	LF	LF_B
Juncus alpino-articulatus (alpinus)	8	x	6	9	8	2	0	H	W
Juncus ambiguus (ranarius)	9	6	x	8	4	3	4	T	S
Juncus anceps	8	6	1	7	7	4	3	H	W
Juncus articulatus (lamprocarpus)	8	x	3	9	x	2	1	H	W
Juncus atratus	8	7	8	9~	7	4	0	H	W
Juncus balticus	8	4	2	8	2	2	1	G	W
Juncus bufonius (agg.)	7	5	x	7~	3	4	0	T	S
Juncus bulbosus (supinus)	6	6	2	10	5	2	0	H, A	W
Juncus capitatus	8	7	3	7	4	3	0	T	S
Juncus compressus	8	5	3	8=	7	5	1	G	W
Juncus conglomeratus	8	5	3	7~	4	3	0	H	S
Juncus effusus	8	5	3	7	3	4	0	H	S
Juncus ensifolius	9	7	2	7	?	?	0	T	S
Juncus filiformis	7	4	5	9	4	3	0	G, H	W
Juncus gerardii	8	6	x	x=	7	x	7	G	W
Juncus inflexus (glaucus)	8	5	3	7~	8	4	1	H	W
Juncus jacquinii	9	2	4	5	2	1	0	H	W
Juncus maritimus	9	7	3	7=	7	6	6	G	S
Juncus monanthus	9	2	4	5	8	2	0	H	W
Juncus pygmaeus	9	7	1	7	4	2	0	T	S
Juncus sphaerocarpus	8	8	6	8~	8	2	0	T	S
Juncus squarrosus	8	5	2	7~	1	1	0	H	I
Juncus stygius	8	4	4	9=	4	3	0	H	W
Juncus subnodulosus (obtusiflorus)	8	6	2	8	9	3	2	G	W
Juncus tenageia	8	7	2	7	5	4	0	T	W
Juncus tenuis (macer)	6	6	3	6	5	5	0	H	W
Juncus trifidus	8	2	3	4	4	2	0	H	W
Juncus triglumis	8	2	7	9	6	2	0	H	W
Juniperus communis ssp. communis	8	x	x	4	x	x	0	N	I
Juniperus communis ssp. alpina (nana)	9	2	7	4	7	2	0	Z	I
Juniperus sabina	7	4	6	3	7	2	0	N	I
Jurinea cyanoides	7	8	6	2	7	2	0	H	S
Kalmia angustifolia	8	5	3	8	1	1	0	Z	I
Kernera saxatilis	9	3	2	3	9	2	0	C	W
Kickxia elatine	7	6	2	4	7	3	0	T	S
Kickxia spuria	7	7	2	4	7	3	0	T	S
Knautia arvensis	7	6	3	4	x	4	0	H	S
Knautia dipsacifolia	5	4	4	6	6	6	0	H	S
Kobresia simpliciuscula (bipartia)	9	1	7	9	8	1	0	H	S
Kochia laniflora (arenaria)	9	8	7	2	8	1	0	T	W
Koeleria arenaria (albescens)	9	6	1	4	5	3	0	H	W
Koeleria glauca	7	7	7	3	8	1	0	H	S
Koeleria hirsuta	9	1	7	4	3	2	0	H	S
Koeleria macrantha (gracilis)	7	6	7	3	8	2	0	H	S
Koeleria pyramidata (cristata) agg.	7	6	4	4	7	2	0	H	S
Koeleria vallesiana	9	8	5	1	9	1	0	H	S
Laburnum anagyroides	7	7	3	3	8	3	0	H	S
Lactuca perennis	9	7	4	2	8	2	0	H	S
Lactuca quercina	5	7	5	4	8	3	0	H	S
Lactuca saligna	9	8	5	4	8	5	1	T, H	S
Lactuca serriola (scariola)	9	7	7	4	x	4	0	H, T	W
Lactuca tatarica	9	6	8	6~	8	5	2	H	S
Lactuca viminea	6	7	5	3	7	3	0	H	S
Lactuca virosa	7	8	2	4	7	7	0	T, H	S
Lamiastrum flavidum	4	3	4	5	7	6	0	C	I
Lamiastrum galeobdolon	3	5	4	5	7	5	0	C	I
Lamiastrum montanum	3	4	5	6	7	6	0	C	I
Lamium album	7	x	3	5	x	9	0	H	S
Lamium amplexicaule	6	6	5	4	7	7	0	T	W
Lamium hybridum agg.	7	6	4	5	7	7	0	T	W
Lamium maculatum	5	x	4	6	7	8	0	H	S
Lamium purpureum	7	5	3	5	7	7	0	T, H	W
Lappula deflexa	8	x	7	4	x	8	0	H, T	W
Lappula squarrosa (myosotis)	8	6	6	3	7	6	0	H, T	W
Lapsana communis	5	6	3	5	x	7	0	H, T	W
Larix decidua	(8)	x	6	4	x	3	0	P	S
Laser trilobum	7	6	4	4	9	2	0	H	S
Laserpitium halleri	8	3	7	4	3	2	0	H	S
Laserpitium latifolium	7	4	2	5~	9	3	0	H	S
Laserpitium prutenicum	7	6	5	7~	7	2	0	H	S
Laserpitium siler	7	x	2	4	9	2	0	H	S
Lathraea squamaria	3	5	3	6	7	6	0	Gvp	S
Lathyrus aphaca	7	7	3	3	8	3	0	Tli	S
Lathyrus bauhinii (ensifolius)	5	6	4	5~	9	2	0	H	S
Lathyrus heterophyllus	7	7	4	4	8	2	0	H	S
Lathyrus hirsutus	7	6	4	4	7	x	0	Tli	W
Lathyrus laevigatus (luteus)	8	3	4	5	8	4	0	Gli	S
Lathyrus latifolius	7	8	4	4	9	3	0	Hli	S
Lathyrus linifolius (montanus)	x	5	2	5	3	2	0	G, H	S
Lathyrus maritimus	8	6	4	4	7	3	1	Hli	W
Lathyrus niger	5	6	4	3	7	3	0	G, H	S
Lathyrus nissolia	7	6	4	4	7	4	0	T	S
Lathyrus palustris	8	6	x	8=	8	3	0	Hli	S
Lathyrus pannonicus ssp. collinus	8	7	6	3~	9	2	0	H	S
Lathyrus pratensis	7	5	x	6	7	6	0	Hli	S
Lathyrus sylvestris	7	6	4	4	8	2	0	Hli	S
Lathyrus tuberosus	7	6	6	4~	8	4	0	G, Hli	V
Lathyrus vernus	4	6	4	5	8	4	0	G, H	S
Lavatera thuringiaca	7	6	4	5	?	7	1	H	S
Ledum palustre	6	5	7	9	2	2	0	Z	I
Leersia oryzoides	8	6	3	10	8	8	0	A, H	W
Legousia hybrida	7	7	2	4	7	3	0	T	S
Legousia speculum-veneris	7	7	4	4	8	3	0	T	S
Lembotropis nigricans ssp. nigr.	6	6	5	4	6	2	0	N	W
Lemna gibba	8	6	3	11	8	8	1	A	S
Lemna minor	7	5	3	11	x	6	1	A	S
Lemna trisulca	7	6	3	12	7	5	1	A	S
Leontodon autumnalis	7	x	3	5	5	5	0	H	W
Leontodon helveticus (pyrenaicus)	8	3	4	5	3	2	0	H	W
Leontodon hispidus	8	x	3	5	7	6	0	H	W
Leontodon incanus	7	x	4	3	9	2	0	H	S
Leontodon montanus	8	2	4	5	9	3	0	H	W
Leontodon saxatilis (Thrincia hirta)	8	6	2	6~	6	5	1	H	W
Leontopodium alpinum	8	2	5	4	8	2	0	H	W
Leonurus cardiaca ssp. cardiaca	8	6	6	5	8	9	0	H	W
Leonurus marrubiastrum	7	7	8	6	8	8	0	T, H	S
Lepidium campestre	7	6	3	4	8	6	0	T	S
Lepidium densiflorum	8	7	7	4	7	6	0	T, H	W
Lepidium graminifolium	8	8	3	3	6	5	0	H	W
Lepidium heterophyllum	8	7	1	5	6	5	0	H	W
Lepidium latifolium	9	6	8	5~	7	5	4	H	W
Lepidium neglectum	9	7	?	3	8	4	0	T, H	S
Lepidium perfoliatum	8	6	8	6	6	5	2	T, H	S
Lepidium ruderale	9	6	7	4	x	6	0	T, H	W
Lepidium virginicum	8	7	x	4	6	5	0	T, H	W
Leucanthemum atratum (halleri)	9	2	4	5	9	2	0	H	W
Leucanthemum maximum	9	4	3	4	7	3	0	H	W
Leucanthemum vulgare (leucanthem.)	7	x	3	4	x	3	0	H	W
Leucojum aestivum	7	8	4	9=	7	8	0	G	S
Leucojum vernum	6	5	4	6	7	8	0	G	V
Ligusticum mutellina	7	2	4	6	5	4	0	H	W
Ligusticum mutellinoides	9	1	6	5	3	1	0	H	W
Ligustrum vulgare	7	6	3	4	8	3	0	N	S
Lilium bulbiferum	7	x	4	5	8	3	0	G	S
Lilium martagon	4	x	5	5	7	5	0	G	S
Limodorum abortivum	6	7	3	4	8	3	0	Gvp	S
Limonium vulgare	9	6	3	7=	7	5	8	H	W
Limosella aquatica	7	6	3	8=	7	3	0	T	W
Linaria alpina	9	3	4	4	8	2	0	G, H	W
Linaria arvensis	6	7	2	5	7	5	0	T	S
Linaria repens (striata)	7	6	1	4	4	6	0	H, G	S
Linaria vulgaris	8	6	5	4	7	5	0	G, H	S
Lindernia dubia	9	6	3	8=	7	?	0	T	S
Lindernia procumbens	9	7	5	8=	7	6	0	T	S
Linnaea borealis	5	x	5	5	2	2	0	Z	I
Linum austriacum	9	7	6	3	8	2	0	H	S
Linum catharticum	7	x	3	x	7	2	1	T	S
Linum flavum	8	7	6	4~	8	3	0	H	S
Linum leonii	9	7	5	3	9	1	0	H	S
Linum perenne	7	x	6	3	8	2	0	H	S
Linum perenne ssp. montanum	9	3	4	4	9	2	0	H	S
Linum tenuifolium	9	8	4	2	9	2	0	H, C	W
Linum viscosum	7	x	4	4~	8	?	0	H	S
Liparis loeselii	8	6	4	9=	9	2	0	G, H	S
Listera cordata	3	4	3	7	2	2	0	G	S
Listera ovata	6	x	3	6~	7	7	0	G	S
Lithospermum officinale	6	6	5	5	8	5	0	H	W
Littorella uniflora	7	5	2	10	7	2	1	A, H	W
Lloydia serotina	9	1	7	5	5	1	0	G	S
Lobelia dortmanna	7	5	2	10	5	1	0	A	W
Loiseleuria procumbens	9	2	3	5	3	1	0	Z	I
Lolium multiflorum	7	7	3	4	7	8	0	H, T	W
Lolium perenne	8	6	3	5	7	7	0	H	W
Lolium temulentum agg.
Lolium temulentum remotum	7	6	4	5	5	4	0	T	S
Lolium temulentum temulentum	7	7	3	4	8	x	0	T	S
Lolium x hybridum	8	7	3	5	7	8	0	H	W
Lomatogonium carinthiacum	8	1	5	5	7	2	0	T	S
Lonicera alpigena	3	4	4	6	8	7	0	N	S
Lonicera caerulea	5	3	7	8	2	2	0	N	S
Lonicera caprifolium	7	7	4	4	8	2	0	Nli	S
Lonicera etrusca	7	9	?	3	x	?	0	N	I
Lonicera nigra	3	4	4	5	5	4	0	N	S
Lonicera periclymenum	6	5	2	x	3	4	0	Nli	S
Lonicera xylosteum	5	6	4	5	7	6	0	N	S
Lotus corniculatus	7	x	3	4	7	3	0	H	S
Lotus tenuis	7	6	3	7~	8	4	4	H	S
Lotus uliginosus	7	5	2	8	6	4	0	H	S
Ludwigia palustris	8	7	3	9=	4	4	0	T, H
Lunaria rediviva	4	5	4	6	7	8	0	H	S
Lupinus polyphyllus	7	5	4	5	4	x	0	H	S
Luronium natans	8	6	1	11	5	3	0	A	W
Luzula alpino-pilosa (spadicea)	7	2	?	7	4	3	0	H	S
Luzula campestris campestris (vulgaris)	7	x	3	4	3	3	0	H	S
Luzula campestris multiflora	7	x	4	5~	5	3	0	H	S
Luzula campestris pallescens	7	5	5	5	3	2	0	H	W
Luzula desvauxii	7	4	4	6	4	4	0	H	S
Luzula forsteri	4	8	2	4	5	2	0	H	S
Luzula glabatra	8	2	5	6	7	3	0	H	S
Luzula luzulina (flavescens)	3	3	4	4	5	2	0	H	S
Luzula luzuloides (albida)	4	x	4	5	3	4	0	H	W
Luzula nivea	4	5	4	5	3	3	0	H	W
Luzula pilosa	2	x	3	5	5	4	0	H	W
Luzula spicata	8	2	3	4	4	1	0	H	S
Luzula sudetica	8	3	4	5~	3	2	0	H	W
Luzula sylvatica ssp. sylvatica	4	4	2	5	4	4	0	H	W
Luzula sylvatica ssp. sieberi	3	3	2	5	2	3	0	H	W
Lychnis flos-cuculi	7	5	3	7~	x	x	0	H	W
Lychnis viscaria (Viscaria vulgaris)	7	6	4	3	4	2	0	C, H	W
Lycium barbarum (halimifolium)	9	7	5	5	7	4	0	N	S
Lycopodiella inundata	8	4	2	9=	3	1	0	C	W
Lycopodium annotinum	3	4	3	6	3	3	0	C	I
Lycopodium clavatum	8	4	3	4	2	2	0	C	I
Lycopus europaeus ssp. europaeus	7	6	5	9=	7	7	0	H, A	W
Lycopus exaltatus	7	6	6	9=	8	8	1	H, A	W
Lysimachia nemorum	2	5	2	7	7	7	0	C	W
Lysimachia nummularia	4	6	4	6~	x	x	0	C	W
Lysimachia punctata	6	7	4	7	8	4	0	H	W
Lysimachia thyrsiflora	7	6	1	9=	x	4	0	H, A	S
Lysimachia vulgaris	6	x	x	8~	x	x	0	H	S
Lythrum hyssopifolia	8	7	5	7=	3	4	2	T	S
Lythrum salicaria	7	5	5	8~	6	x	1	H	S
Maianthemum bifolium	3	x	6	5	3	3	0	G	S
Malaxis monophyllos	3	4	5	8	6	6	0	G	S
Malus sylvestris agg.	(7)	6	3	5	7	5	0	P	S
Malva alcea	8	6	4	5	8	7	0	H	S
Malva moschata	8	6	3	4	7	4	0	H	W
Malva neglecta	8	6	7	5	7	9	0	T, H	S
Malva pusilla	8	7	7	4	5	5	1	T, H	S
Malva sylvestris	8	6	3	4	7	8	0	H	W
Marrubium vulgare	9	7	5	4	8	8	0	C, H	W
Marsilea quadrifolia	7	9	5	10	7	6	0	A	S
Matricaria discoidea	8	5	3	5	7	8	0	T	W
Matricaria recutita (chamomilla)	7	6	5	5	5	5	0	T	W
Matteuccia struthiopteris	5	6	4	8	7	7	0	H	S
Medicago arabica	8	7	4	4	8	5	0	T	S
Medicago lupulina	7	5	x	4	8	x	0	T, H	W
Medicago minima	9	7	3	3	8	2	0	T	S
Medicago nigra (polymorpha)	9	8	3	3	7	5	0	T	S
Medicago sativa agg.
Medicago sativa falcata	8	6	7	3	9	3	0	H	W
Medicago sativa sativa	8	6	6	4	7	x	0	H	W
Melampyrum arvense	7	7	5	4	8	3	0	Thp	W
Melampyrum cristatum	7	7	5	3~	8	2	0	Thp	S
Melampyrum nemorosum	5	6	4	4~	6	4	0	Thp	S
Melampyrum pratense	x	x	3	x	3	2	0	Thp	S
Melampyrum pratense ssp. commutatum	5	6	3	4	4	2	0	Thp	S
Melampyrum pratense ssp. oligocladum	5	3	4	5	2	2	0	Thp	S
Melampyrum pratense ssp. paludosum	7	4	?	7	2	1	0	Thp	S
Melampyrum pratense ssp. pratense	6	5	3	5	3	2	0	Thp	S
Melampyrum sylvaticum	4	4	5	5	2	2	0	Thp	S
Melica ciliata agg.
Melica ciliata ciliata	8	7	4	2	7	2	0	H	S
Melica ciliata transsilvanica	7	8	4	3	6	4	0	H	S
Melica nutans nutans	4	x	3	4~	x	3	0	G, H	S
Melica nutans picta	5	8	4	4	6	4	0	H, G	S
Melica uniflora	3	5	2	5	6	6	0	G, H	S
Melilotus alba	9	6	6	3	7	4	0	H, T	S
Melilotus altissima	8	6	5	7~	7	7	2	H, T	S
Melilotus dentata	8	6	7	6~	7	5	2	T, H	S
Melilotus indica	9	6	4	5~	7	7	2	T	S
Melilotus officinalis	8	6	6	3	8	3	0	H	S
Melittis melissophyllum ssp. meliss.	5	7	2	4	6	3	0	H	S
Mentha aquatica	7	5	3	9=	7	5	0	H, A	S
Mentha arvensis	7	x	x	7~	x	x	0	G, H	S
Mentha longifolia (sylvestris)	7	5	4	8=	9	7	0	H	S
Mentha x piperita agg.	8	7	?	6	7	6	0	H	S
Mentha pulegium	8	7	3	7=	7	7	1	H	S
Mentha suaveolens (rotundifolia)	8	7	3	8=	6	5	1	H	S
Mentha x verticillata agg.	7	5	?	8~	7	?	0	H?	S
Menyanthes trifoliata	8	x	x	9=	x	3	0	A, G	W
Mercurialis annua	7	7	3	4	7	8	0	T	S
Mercurialis perennis ovata	5	7	4	4	7	5	0	H, C	S
Mercurialis perennis perennis	2	x	3	x	8	7	0	G, H	S
Mespilus germanica	(6)	8	6	4	6	x	0	P	S
Meum athamanticum	8	4	2	5	3	3	0	H	S
Mibora minima	8	8	2	3	4	3	0	T	S
Micropus erectus	9	9	?	2	9	1	0	T	S
Milium effusum	4	x	3	5	5	5	0	H	W
Mimulus guttatus	7	x	3	9=	x	6	0	H, A	W
Minuartia austriaca	9	2	4	5	9	2	0	C	W
Minuartia cherlerioides (aretioides)	8	1	4	3	8	2	0	C	W
Minuartia fastigiata (Alsine jacquinii)	9	8	4	2	8	1	0	T, H	W
Minuartia hybrida (tenuifolia)	9	7	3	3	8	3	0	T	W
Minuartia gerardii	9	2	7	5	7	2	0	C	W
Minuartia recurva	8	1	7	4	3	1	0	C	W
Minuartia rupestris	8	1	4	3	8	2	0	C	W
Minuartia sedoides	9	1	2	4	4	1	0	C	W
Minuartia setacea	9	7	6	2	7	1	0	C	W
Minuartia stricta	9	4	7	9	2	1	0	C	W
Minuartia verna	9	4	5	3	x	1	0B	C	W
Minuartia viscosa	8	6	5	3	x	2	0	T, H	S
Misopates orontium (Antirrhinum o.)	7	7	3	5	5	5	0	T	V
Moehringia ciliata	9	2	4	5	7	2	0	H	W
Moehringia muscosa	5	3	2	7	9	2	0	H	W
Moehringia trinervia	4	5	3	5	6	7	0	T, H	S
Moenchia erecta	9	7	2	2	4	1	0	T	S
Molinia caerulea agg.
Molinia caerulea arundinacea (litoral	7	6	5	x~	x	3	0	H	S
Molinia caerulea caerulea	7	x	3	7	x	2	0	H	S
Moneses uniflora	4	x	5	5	4	2	0	H, G	W
Monotropa hypopitys agg.	4	x	5	5	3	2	0	Gvp	S
Montia fontana (ssp. fontana)	8	4	2	9	5	4	0	T, G	W
Montia fontana ssp. chondrosperma	7	6	2	8=	3	4	0	T, A	W
Muscari botryoides	7	5	4	5	x	x	0	G	V
Muscari comosum	7	8	3	3	7	?	0	G	V
Muscari neglectum	7	8	7	3	7	5	0	G	V
Muscari racemosum	7	7	3	3	8	6	0	G	V
Muscari tenuiflorum	7	8	6	3	8	?	0	G	V
Myagrum perfoliatum	6	7	4	4	9	4	0	T	S
Mycelis muralis	4	6	2	5	x	6	0	H	S
Myosotis alpestris	8	2	4	5	9	4	0	H	W
Myosotis arvensis (intermedia)	6	6	5	5	x	6	0	T, H	W
Myosotis discolor (versicolor)	8	7	2	4	4	2	0	T	W
Myosotis decumbens	8	3	2	6	5	7	0	H	W
Myosotis laxa ssp. caespitosa	7	6	3	9=	4	7	0	H	W
Myosotis nemorosa (strigulosa)	7	5	4	8	5	5	0	H	W
Myosotis palustris (scorpioides)	7	x	5	8~	x	5	0	H	W
Myosotis ramosissima (coll., hispida)	9	6	5	2	7	1	0	T	W
Myosotis rehsteineri	9	6	4	10	9	2	0	H, A	W
Myosotis sparsiflora	5	6	6	6	7	7	0	T	W
Myosotis stricta (micrantha)	8	6	5	3	6	2	0	T	W
Myosotis sylvatica	6	x	3	5	x	7	0	H	W
Myosoton aquaticum (Malachium a.)	7	5	3	8=	7	8	0	G, H	W
Myosurus minimus	8	7	5	7=	6	5	0	T	V
Myrica gale	8	6	2	9	3	3	0	Z, N	S
Myricaria germanica	8	4	7	8=	8	3	0	N	I
Myriophyllum alternifolium	7	5	2	12	6	3	0	A	W
Myriophyllum spicatum	5	6	x	12	9	7	?	A	W
Myriophyllum verticillatum	5	6	5	12	7	8	0	A	W
Myrrhis odorata	7	6	2	5	7	7	0	H	S
Najas flexilis	5	6	4	12	8	5	0	T, A	S
Najas intermedia	7	6	4	12	9	4	0	T, A	S
Najas marina	5	6	4	12	9	6	1	A, T	S
Najas minor	6	7	4	12	8	4	0	A, T	S
Narcissus pseudo-narcissus	8	4	2	6	4	4	0	G	V
Narcissus radiiflorus (exsertus)	8	3	4	5	6	5	0	G	V
Nardurus halleri	9	8	2	2	4	1	0	T
Nardus stricta	8	x	3	x~	2	2	0	H	W
Narthecium ossifragum	8	4	1	9	2	1	0	H	W
Nasturtium officinale agg.	7	x	3	10	7	7	0	A	W
Neottia nidus-avis	2	5	3	5	7	5	0	G!vp	S
Nepeta cataria	8	7	3	4	7	7	0	H, C	W
Nepeta pannonica	8	7	6	2	7	?	0	H, C	W
Neslia paniculata	6	6	5	4	8	4	0	T	W
Nicandra physalodes	8	7	?	4	7	7	0	T	S
Nigella arvensis	8	7	5	3	9	3	0	T	S
Nigritella miniata (nigra ssp. rubra)	8	2	?	4	9	2	0	G	S
Nigritella nigra agg.	8	2	4	4	6	2	0	G	S
Nonea pulla	7	6	6	3	9	2	0	H	S
Nuphar lutea	8	6	4	11	7	6	0	A	S
Nuphar pumila	8	4	7	11	4	2	0	A	S
Nymphaea alba	8	6	3	11	7	5	0	A	S
Nymphaea candida	8	6	6	11	4	4	0	A	S
Nymphoides peltata (Limnanthemum n.)	8	7	5	11	8	7	0	A	S
Odontites litoralis	8	6	?	7=	7	4	4	Thp	S
Odontites lutea	7	7	5	3	9	2	0	Thp	S
Odontites rubra (vulgaris, serotina)	6	6	3	5~	7	5	1	Thp	W
Odontites verna	6	6	3	5	6	5	0	Thp	W
Odontites viscosa	6	7	7	3	7	2	0	Thp	S
Oenanthe aquatica	7	6	5	10	7	6	0	A, H	S
Oenanthe conioides	7	6	3	10	7	8	2	A, H	S
Oenanthe fistulosa	7	7	2	9=	8	5	0	H, A	S
Oenanthe fluviatilis	8	7	1	11	8	7	0	A	S
Oenanthe lachenalii	8	7	2	8=	8	7	3	H	S
Oenanthe peucedanifolia	7	7	2	9~	x	3	0	H	S
Oenanthe silaifolia	8	6	5	8~	7	5	2	H	S
Oenothera biennis	9	7	3	4	x	4	0	H	S
Oenothera parviflora (muricata) agg.	8	6	2	3	7	3	1	H, T	W
Oenothera parviflora ammophila	9	6	4	3	8	5	1	H	W
Omphalodes scorpioides	3	6	4	6	8	7	0	H, T	S
Omphalodes verna	4	6	4	5	7	6	0	H	S
Onobrychis arenaria	7	7	7	2	9	1	0	H	S
Onobrychis montana	9	3	6	4	9	2	0	H	S
Onobrychis viciifolia	8	7	6	3	8	3	0	H	S
Ononis arvensis (hircina)	8	6	7	4~	7	2	0	H, Z	S
Ononis campestris agg.
Ononis natrix	8	8	3	3	8	1	0	Z, H	S
Ononis repens	8	5	2	4~	7	2	0	Z, H	S
Ononis rotundifolia	7	7	7	3	8	2	0	H	S
Ononis spinosa (campestris)	8	6	5	4~	7	3	1	Z, H	S
Onopordum acanthium	9	7	6	4	7	8	0	H	S
Onosma arenarium	7	8	6	3	8	1	0	H	S
Ophioglossum vulgatum	7	6	3	7	7	2	1	G	S
Ophrys apifera	7	6	2	4	9	2	0	G	W
Ophrys holosericea	8	7	4	4~	9	2	0	G	W
Ophrys insectifera	7	5	4	4	9	3	0	G	W
Ophrys sphecodes agg.	8	8	4	4~	9	3	0	G	W
Orchis coriophora	8	7	4	7	4	2	0	G	W
Orchis mascula	6	x	3	4	8	x	0	G	S
Orchis militaris	7	6	5	3	9	2	0	G	S
Orchis morio	7	5	3	4~	7	3	0	G	S
Orchis pallens	4	5	4	5	8	4	0	G	S
Orchis palustris (laxiflora ssp. pal	9	6	5	9~	8	2	1	G	S
Orchis purpurea	5	7	4	4~	8	3	0	G	S
Orchis simia	8	8	2	3	8	2	0	G	S
Orchis tridentata	9	7	4	3	9	2	0	G	W
Orchis ustulata	7	5	5	4	x	3	0	G	W
Oreochloa disticha	9	1	4	5	1	1	0	H	S
Origanum vulgare	7	x	3	3	8	3	0	H, C	W
Orlaya grandiflora	7	7	2	3	9	4	0	T	S
Ornithogalum kochii (orthophyllum ssp. k.)	9	8	5	2	8	1	0	G	V
Ornithogalum nutans agg.	6	7	4	4	7	7	0	G	V
Ornithogalum pyrenaicum	4	6	2	5	6	5	0	G	V
Ornithogalum umbellatum	6	6	4	5	7	7	0	G	V
Ornithopus perpusillus	7	6	2	3	2	2	0	T	V
Orobanche alba (epithymum)	8	x	3	3	9	x	0	Gvp	S
Orobanche alsatica agg.
Orobanche alsatica alsatica	7	7	7	3	8	2	0	Gvp	S
Orobanche alsatica bartlingii	7	6	4	3	7	2	0	Gvp	S
Orobanche alsatica mayeri	x	5	7	3	7	x	0	Gvp	S
Orobanche amethystea	8	8	2	1	8	1	0	Gvp	S
Orobanche arenaria	7	8	5	3	x	1	0	Gvp	S
Orobanche caryophyllacea (vulgaris)	8	6	5	3	9	2	0	Gvp	S
Orobanche coerulescens	9	7	7	2	8	1	0	Gvp	S
Orobanche elatior (major)	7	7	5	4	8	3	0	GvP	S
Orobanche flava	9	4	4	5	9	2	0	Gvp	S
Orobanche gracilis	x	x	2	3	7	2	0	Gvp	S
Orobanche hederae	4	6	2	5	6	x	0	Gvp	S
Orobanche lucorum	5	6	4	5	8	?	0	Gvp	S
Orobanche lutea (rubens)	x	6	5	3	8	x	0	Gvp	S
Orobanche minor (barbata)	6	6	2	5	7	5	0	T, Gvp	S
Orobanche picridis	7	7	2	4	7	5	0	Gvp	S
Orobanche purpurea	7	7	5	4	7	2	0	Gvp	S
Orobanche ramosa	6	7	5	5	7	7	0	Gvp	S
Orobanche rapum-genistae	x	6	1	5	3	2	0	Gvp	S
Orobanche reticulata	7	x	4	4	8	2	0	Gvp	S
Orobanche salviae	4	5	4	5	8	7	0	Gvp	S
Orobanche teucrii	8	6	2	2	9	1	0	Gvp	S
Orthilia secunda	4	x	3	5	x	2	0	C	I
Osmunda regalis	5	6	2	8	4	5	0	H, G	S
Ostrya carpinifolia	(4)	8	5	4	x	5	0	P	S
Oxalis acetosella	1	x	3	5	4	6	0	G, H	W
Oxalis corniculata	7	7	?	4	x	6	0	T	S
Oxalis dillenii (stricta)	7	7	3	5	6	5	0	T	S
Oxalis fontana (europaea)	6	6	?	5	5	7	0	G, T	S
Oxyria digyna	8	2	x	5	3	3	0	H	W
Oxytropis campestris	9	2	6	4	6	2	0	H	W
Oxytropis jacquinii (montana)	8	2	4	4	9	2	0	H	S
Oxytropis pilosa	9	7	7	1	7	1	0	H	S
Papaver argemone	6	6	2	4	5	5	0	T	W
Papaver dubium agg.	6	6	3	4	5	5	0	T	W
Papaver dubium lecoquii	8	7	3	4	7	5	0	T	S
Papaver hybridum	7	7	3	5	7	5	0	T	S
Papaver rhoeas	6	6	3	5	7	6	0	T	S
Papaver sendtneri	9	1	4	5	9	2	0	H	S
Parapholis strigosa	8	6	2	7=	7	4	5	T	S
Parietaria judaica (diffusa)	6	7	2	7	8	7	0	H	W
Parietaria officinalis (erecta)	5	7	4	5	7	7	0	H	W
Parietaria pensylvanica	7	7	?	5	7	8	0	T	S
Paris quadrifolia	3	x	4	6	7	7	0	G	S
Parnassia palustris	8	x	x	8~	7	2	0	H	S
Pastinaca sativa	8	6	5	4	8	5	0	H	S
Pedicularis aspleniifolia	8	1	5	6	8	3	0	Hhp	S
Pedicularis foliosa	7	3	2	6	8	3	0	Hhp	S
Pedicularis oederi	9	2	7	5	9	2	0	Hhp	S
Pedicularis palustris	8	x	x	9=	x	2	0	Hhp	S
Pedicularis recutita	8	3	4	6	7	4	0	Hhp	S
Pedicularis rostrato-capitata	8	2	4	5	9	3	0	Hhp	S
Pedicularis rostrato-spicata	7	2	4	5	9	4	0	H	S
Pedicularis sceptrum-carolinum	8	5	7	8~	8	2	0	Hhp	S
Pedicularis sylvatica	7	5	2	8~	1	2	0	Hhp	S
Pedicularis verticillata	8	3	7	x	8	2	0	Hhp	S
Peplis portula	8	6	3	7=	3	2	0	T	S
Petasites albus	4	4	4	6	x	5	0	G	S
Petasites hybridus (officinalis)	7	5	2	8=	7	8	0	G, H	S
Petasites paradoxus (niveus)	8	3	4	6	8	3	0	G, H	S
Petasites spurius	9	6	6	6~	7	5	0	G	S
Petrocallis pyrenaica	8	1	4	4	9	1	0	C	W
Petrorhagia prolifera	8	7	3	3	5	2	0	T	S
Petrorhagia saxifraga	9	7	4	2	7	1	0	C	W
Peucedanum alsaticum	7	7	6	4~	9	3	0	H	S
Peucedanum carvifolia	8	7	6	5	7	5	0	H	S
Peucedanum cervaria	7	6	4	3	7	3	0	H	S
Peucedanum officinale	7	7	5	4~	8	2	0	H	S
Peucedanum oreoselinum	6	6	4	3	6	2	0	H	S
Peucedanum ostruthium (Imperatoria o.)	6	3	2	5	7	7	0	H	S
Peucedanum palustre	7	6	6	9=	x	4	0	H	S
Phalaris arundinacea	7	5	x	8~	7	7	0	G, H	W
Phleum alpinum (rhaeticum) agg.	8	3	3	5	6	7	0	H	W
Phleum arenarium	9	6	3	3	7	3	1	T	S
Phleum hirsutum (michelii)	8	3	4	5	7	4	0	H	W
Phleum paniculatum	7	6	4	4	8	4	0	H, T	S
